index,종류별,상황별,재료별,방법별,글 제목,레시피이름,레시피이미지,조회수,조리시간,난이도,인분,재료,소개글,조리순서
27455,메인반찬,일상,해물류,볶음,낙지볶음 만드는 법 백종원 양념장 레시피로 간편하게 만들어요.,낙지볶음,https://recipe1.ezmember.co.kr/cache/recipe/2018/02/03/ac487e5199f289a3e73aeef44d0280f91.jpg,"350,648",15분 이내,초급,2인분,"[('낙지', '1마리'), ('양파', '1/2개'), ('당근', '1/6개'), ('양배추', '1/4조각'), ('대파', '1대'), ('식용유', '1T'), ('참기름', '3방울'), ('통깨', '1T'), ('간장', '3T'), ('설탕', '1T'), ('맛술', '1T'), ('고춧가루', '2T'), ('다진마늘', '1T')]","쓰러진 소도 벌떡 일으킨다는 낙지를 이용해 맛있는 낙지볶음을 만들어봐요.
양념장은 백종원 레시피로 맛있게 만들어봤답니다.
음식물은 스마트카라에 처리해 간편하게 요리했어요.","[{'step_number': 1, 'description': '먼저 낙지를 손질해줘야해요.\n저는 생물낙지를 준비했는데요 생물낙지는 부드러운 식감이 매력이랍니다.\n굵은소금 혹은 밀가루를 넣고 바락바락 주물러주세요.머리를 넣고 주무르면 먹물이 터질 수 있으니 머리는 꼭 제거해주세요.낙지 손질법 레시피', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/02/03/206417afd68364008865f630b3d3cb4e1.jpg'}, {'step_number': 2, 'description': '세척 후에 머리쪽의 내장을 손으로 뜯어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/02/03/c36a059daf624c7cb4236ad924165a781.jpg'}, {'step_number': 3, 'description': '끓는 물에 생물이기 때문에\n부드럽게 먹기 위해 30초 이하로 짧게 데쳐주세요.\n이때 머리는 따로 드실 분은\n몸통을 데친 물에 좀 더 오랫동안 데쳐주세요.냄비강불낙지를 데치는 이유는 낙지를 볶을 때 물이 생기지 않고 빠르게 볶아내 부드럽게 먹기 위해서랍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/02/03/62089c122a4223f7e5212d7ff61441911.jpg'}, {'step_number': 4, 'description': '채소는 냉장고 사정에 따라 준비해주세요.\n당근은 반달썰고 양파나 양배추는 깍둑썰어주세요.\n대파가 있다면 대파는 어슷썰어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/02/03/e37ac10bc7608e9ae2d155c3068e27d91.jpg'}, {'step_number': 5, 'description': '재료 손질 후에 음식물쓰레기 처리기 스마트카라에 바로바로 음식물들을 넣어줬는데요\n음식물 쓰레기를 가루로 줄여 부피를 확 줄여주기 때문에 간편할 뿐만 아니라 냄새도 나지 않아서 참편리해요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/02/03/eba6e6f4b96630e91f66fc1f31a713961.jpg'}, {'step_number': 6, 'description': '데친 낙지 또한 먹기좋은 크기로 썰어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/02/03/9f174f7237a84c6e6df29a3d78b148ba1.jpg'}, {'step_number': 7, 'description': '백종원 양념장 레시피는\n간장 3큰술, 설탕 1큰술, 맛술 1큰술\n고춧가루 2큰술, 다진마늘 1큰술이에요.\n잘 넣고 섞어주세요.좀 더 매운맛을 원하시는 분은 청양고춧가루를 넣어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/02/03/cebede2f02dd11a27f5e7deccb18df5e1.jpg'}, {'step_number': 8, 'description': '기름을 1~2큰술 두른 팬에 만들어둔 양념장을\n모두 넣고 볶아주세요.타지 않게 빠르게 짧게 볶아주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/02/03/5f360a2fe982948230131472c8bd0bad1.jpg'}, {'step_number': 9, 'description': '그리고 준비한 양배추,당근,양파를 넣고\n양념장과 함께 잘 버무려 볶아내주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/02/03/d743f472802bf1e972098e3b80fd0c681.jpg'}, {'step_number': 10, 'description': '양배추와 양파의 숨이 살짝 죽으면\n낙지를 넣고 빠르게 볶아주세요. 1~2분 이내로빠르게 볶아야 낙지가 질기지 않아요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/02/03/8d17f5b6df30e39332ce071c0cc9607e1.jpg'}, {'step_number': 11, 'description': '마무리로 참기름을 3방울 톡톡 넣어주세요. 통깨를 넣어 고소함을 살려줘도 좋답니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/02/03/33d04a11718c441d2855a552f5f0ae8a1.jpg'}, {'step_number': 12, 'description': '한가득 요리하다보니 스마트카라에 쌓인 음식물들,\n표시선까지 음식물이 차면 전원버튼을 눌러주면 음식물이 가루로 변하는 마법이 일어나요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/02/03/50fcad82acc312cd67c1937ac301333f1.jpg'}, {'step_number': 13, 'description': '4~5시간 후면 여러 음식물들이 섞여\n냄새나던 음식물은 어디가고\n이렇게 가루가 되어버린 음식물쓰레기들을 만날 수 있답니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/02/03/bf7a1f56e33d4d2d11bbe6b0b8d6cb471.jpg'}]"
27456,메인반찬,일상,해물류,볶음,쭈꾸미볶음 황금 레시피 :: 사먹던 것보다 더 맛있고 푸짐하게 집에서 만들어요~,None,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/7ea8e1e61cc68376642f1fe940076c11.jpg,"76,525",None,None,None,[],,[]
27457,메인반찬,일상,해물류,볶음,[집밥] 오징어 손질 부터 오징어볶음 황금레시피 # 부추오징어볶음,부추오징어볶음,https://recipe1.ezmember.co.kr/cache/recipe/2016/05/13/776f19d3021dbb788b1472745c3115221.jpg,"84,480",30분 이내,아무나,2인분,"[('오징어', '2마리'), ('당근', '20g'), ('양파', '1/2개'), ('양배추', '40g'), ('대파', '1/2대'), ('부추', '1줌'), ('설탕', '1T'), ('고추장', '1T'), ('간 마늘', '1T'), ('간장', '5T'), ('고춧가루', '2T'), ('참기름', '적당')]",양념이 쏙쏙 베이는 오징어 볶음이에요.~,"[{'step_number': 1, 'description': '겉은 한번 씻어주세요.\n몸통에 연결되어 있는 부분에 손가락을 넣어 돌려보면 걸리는곳이 있어요.\n연결부분을 손가락을 넣어 눌러가면서 최대한 안쪽 끝까지 밀어 넣어서 뜯어주세요.\n다리를 잡고 살살 당겨주세요.\n* 그냥 잡아당기면 터질 수 있어요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/02/9359823959225d2b0c4670b2e77fda1a1.jpg'}, {'step_number': 2, 'description': '내장을 제거한 오징어몸통 잔여물을 물로 씻어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/02/302d1e7d5c6b417e17fd155f555616321.jpg'}, {'step_number': 3, 'description': '다리와 내장 사이를 잘라줍니다.\n다리 살쪽을 잘라주셔야 해요. 내장쪽 자르면 터질 수 있답니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/02/72d96c961bb1c9632d45f238bd4260921.jpg'}, {'step_number': 4, 'description': '껍질은 안 벗겨도 되요.\n부드러운 식감을 원하시는 분들만 껍질 제거하시면 됩니다.\n몸통 껍질은 키친타올이나 마른행주로 구석 안쪽을 잡고 당기면 슬슬 잘 벗겨집니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/02/2e3df1a5620a7739102ce7e6315ed0751.jpg'}, {'step_number': 5, 'description': '뽀득뽀득해진 오징어 냥.\n먹기 좋게 잘라줍니다. 양념 잘 베라고 칼집도 내주었어요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/02/3e62c37bb4343f6d0b969a0d24403a0c1.jpg'}, {'step_number': 6, 'description': '부추, 채소를 채 썰어준비해 주세요.\n(당근, 양파, 양배추, 대파 등)', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/02/6b02da5d9a800fee395ab033127ca7771.jpg'}, {'step_number': 7, 'description': '불 맛을 대체할 중국집 파기름 내는 방법 활용\n기름을 넣기 전에 파부터 넣고 불을 켜고 식용유 세 큰 술 넣어주세요.\n기름이 끓기 시작하면 파의 향이 기름으로 변신.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/02/095139baf164e2f60b4caaed071fac9e1.jpg'}, {'step_number': 8, 'description': '파가 노릇노릇해질 때 손질한 오징어 투하. 데쳤어도 안 데쳤어도 지금 넣어주세요. \n파 기름에 섞이도록 저어 주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/02/99fd34fdfc291dc351656b9fbf56756a1.jpg'}, {'step_number': 9, 'description': '양념 넣을 때 단맛 먼져. 단맛 설탕의 분자가 제일 크기 때문에 짠맛 소금이 먼저 닿으면 쪼그라들어 단맛이 들어가지 못한다고 해요.\n설탕 1T > 마늘 적당히 1T > 고추장 1큰술 > 간장 5T > 고춧가루 2T정도', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/02/4af9e65484d043e73e032d05b5dd34131.jpg'}, {'step_number': 10, 'description': '고춧가루들이 엉키면 물을 1/2컵 정도 넣어주세요.\n일반 가정 가스레인지로 하면 오징어에서 물기가 나와서 굳이 안 넣었네요.\n느긋하게 졸이며 오징어의 감칠맛을 끌어냅니다.\n여기서 맛을 봐보세요. 짭니다.ㅎ\n나중에 채소들이 들어갈 것이기 때문에 지금 짠 정도가 맞아요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/02/9c3fa2d59b0e7720071cd85d1a9965d91.jpg'}, {'step_number': 11, 'description': '이 상태에서 부추와 다듬은 채소 투하.\n야채가 가라앉으면서 적당히 물기가 자박해지면서 양념이 어우려져 연해지고 간이 돼요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/02/605b92513983ce4735a7799cb242fca01.jpg'}, {'step_number': 12, 'description': '어느 정도 볶은 다음 불을 끄고 참기름으로 마무리.~', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/02/12276d2c08570f4139aff51ce6affed01.jpg'}]"
27458,메인반찬,일상,해물류,볶음,오징어 볶음 맛있게 만드는법 꿀팁 포함!,오징어볶음,https://recipe1.ezmember.co.kr/cache/recipe/2020/12/30/78550a498479acaf9b9327efe6545bc01.jpg,"80,487",30분 이내,초급,3인분,"[('오징어', '2마리'), ('양파', '1/2개'), ('편마늘', '2큰술'), ('고추장', '1큰술'), ('고춧가루', '3큰술'), ('설탕', '1큰술'), ('물엿', '1.5큰술'), ('간장', '1.5큰술'), ('맛술', '2큰술'), ('마늘', '1큰술'), ('생강', '1큰술'), ('후추가루', '약간')]","오늘 공개할 오징어 볶음 맛있게 만드는법은 오징어볶음 레시피를 찾는 주부들에게 특히 큰 도움이 될 것이다.단 3분만에 오징어 볶음 황금레시피를 얻어갈 수 있을 것이다. 
자세한 레시피는 댓글에서 확인!","[{'step_number': 1, 'description': '오징어 볶음 맛있게 만드는법의 양념장은 고춧가루 3큰술, 간장 1.5큰술, 고추장 1큰술, 설탕 1큰술, 물렷 1.5큰술, 미림 2큰술, 마늘 1큰술, 다진 생강 1큰술이 들어간다. 양념장을 먼저 숙성한 다음 오징어를 손질하면 좋다.오징어 손질법 레시피', 'image_url': None}, {'step_number': 2, 'description': '우선 오징어의 내장, 다리부분을 끄집어낸 후에, 안쪽에 남아있는 오징어 뼈를 마저 제거해준다.', 'image_url': None}, {'step_number': 3, 'description': '그 후에 오징어 입과 내장부분을 잘 제거해주면 비린내 없이 깔끔하고 맛있는 오징어 볶음을 맛볼 수 있다.', 'image_url': None}, {'step_number': 4, 'description': '이렇게 손질된 오징어를 흐르는 물로 깨끗이 씻어주어 나머지 불순물을 깔금하게 제거해준다.', 'image_url': None}, {'step_number': 5, 'description': '손질 후 깔끔하게 씻은 오징어는 가로로 얇게, 동그란 모양으로 잘 썰어준다. 너무 두껍게 썰면 질길 수 있으니 적당한 두께로 썰어주자.오징어의 머리 부분은 조금더 질기기 때문에 몸통보다 조금 더 가늘게 썰어주는 것이 좋다.', 'image_url': None}, {'step_number': 6, 'description': '오징어 몸통부분을 다 잘랐다면, 다리부분도 먹기 좋은 크기로 잘 썰어주자. 이렇게 오징어 볶음 맛있게 만드는법의 오징어 손질이 끝났다면 다음 단계로 가자.', 'image_url': None}, {'step_number': 7, 'description': '오징어 볶음 맛있게 만드는법에 들어갈 양파는 약간 두툼하게 볶아주는 것이 좋기 때문에 굵게 썰어준다.', 'image_url': None}, {'step_number': 8, 'description': '편마늘을 굵직하게 썰어서 기름에 같이 볶으면 오징어 볶음에서 마늘의 알싸한 향과 식감이 살아난다. 당근도 얇게 썰어주자. 고추 역시 어숫썰기해서 먹기좋게 준비해두면 오징어 볶음 맛있게 만드는법의 다음 단계를 살펴보자.', 'image_url': None}, {'step_number': 9, 'description': '뜨거운 팬에 오징어를 잘 펼쳐서 휘저어주자.보통 해산물을 볶을 때 물이 생겨서 양념이 묽어지기 마련인데, 이렇게 높은 온도의 팬에 오징어를 넣어서 잠깐동안 볶아주면 수분이 날아가서 오징어를 볶을 때 물이 덜 생긴다.', 'image_url': None}, {'step_number': 10, 'description': '우선 식용유 2스푼을 넣은 후 편마늘부터 넣어서 잠깐 볶아주자.', 'image_url': None}, {'step_number': 11, 'description': '20초정도 마늘을 볶아서 어느 정도 익은게 보이면 양파를 넣어주자. 일단 마늘과 양파가 들어가면 기름의 풍미가 벌써부터 좋아진다.', 'image_url': None}, {'step_number': 12, 'description': '그다음 만들어두었던 오징어 볶음 양념장을 한 구석에서 볶아준다. 이렇게 하면 양념이 약간 쫀득해져서 오징어 볶음이 완성되었을 때 오징어에 양념이 더욱 잘 달라붙는다.', 'image_url': None}, {'step_number': 13, 'description': '양념이 거의 빡빡하게 됐다면, 나머지 재료들을 모두 같이 넣고 볶아준다.', 'image_url': None}, {'step_number': 14, 'description': '이렇게 재료들을 넣고 대충 버무려준 뒤 오징어를 바로 넣어주자.', 'image_url': None}]"
27459,메인반찬,일상,해물류,볶음,활낙지로 만드는 낙지볶음 / 낙지손질법,낙지볶음,https://recipe1.ezmember.co.kr/cache/recipe/2021/03/05/c0ebd6a2d5ae5deb6a811a7c663b404a1.jpg,"21,833",15분 이내,아무나,3인분,"[('활 낙지', '2마리'), ('양파', '1개'), ('당근', '약간'), ('고추', '2개'), ('간장', '1T'), ('고추장', '1T'), ('고운고춧가루', '1T'), ('다진마늘', '1T'), ('매실액', '1T'), ('생강청', '1T'), ('술', '1T'), ('참기름', '1/2T')]","매콤한 것 먹고

땀 흘리고 나면 기분까지 개운해 지지요

​

서해 활낙지로

매콤 낙지볶음 만들었어요","[{'step_number': 1, 'description': '양푼이에 담았는데\n탈출하고 난리도 아닙니다 \n싱싱함 그 자체..\n중 사이즈 2마리 입니다', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/03/05/1c2b73be1fc12589e494094dd8131ef61.jpg'}, {'step_number': 2, 'description': '낙지 손질법 알려 드려요\n낙지 빨판을 여러 번 훑어주고\n밀가루 넣고 주물러 씻어 줍니다\n머리 뒤집어 내장, 눈, 입 제거 합니다\n살아서 꿈틀거리니 당췌.. ㅠ\n옆지기찬스 사용 했어요낙지 손질법 레시피', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/03/05/a7a2a6b49f1c72b3a4a1f4457fe5ed2e1.jpg'}, {'step_number': 3, 'description': '끓는물에 아주 잠깐 데쳐 냅니다', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/03/05/8710471a0c36bc835b393574ec7e82bc1.jpg'}, {'step_number': 4, 'description': '먹기좋게 썰어요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/03/05/bd769be185d5723e5f7b97cfbe39a4031.jpg'}, {'step_number': 5, 'description': '팬에 양파 슬라이스넣고 볶아 줍니다\n양파 볶아지면 당근넣고 볶아요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/03/05/c41888aa05a53a3df83df855b29f660d1.jpg'}, {'step_number': 6, 'description': '낙지넣고 양념넣고\n센불로 재빨리 볶아요\n양념 : 간장(1T), 고추장(1T), 고운고춧가루(1T)\n다진마늘(1T), 생강청(1T), 매실액(1T), 술(1T)', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/03/05/5542fe01deba031f65be6a167ee035751.jpg'}, {'step_number': 7, 'description': '고추넣고 섞은 후\n참기름 둘러 마무리해요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/03/05/4f76d3fb01b8a8faf9550cd945d509101.jpg'}]"
27460,메인반찬,일상,해물류,볶음,None,None,None,None,None,None,None,[],,[]
27461,메인반찬,일상,해물류,볶음,매운 해물볶음,해물볶음,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/504e621b6116768ad5c3db0b36db22dd.jpg,"21,932",60분 이내,초급,2인분,"[('대하', ''), ('전복', ''), ('가리비', ''), ('미니갑오징어', ''), ('가리비', ''), ('마른고추', '1컵'), ('다진마늘', '10알'), ('식용유', ''), ('고추기름', '')]",해물볶음하면 다양한 해물을 빨간 양념에 볶는게 제일 먼저 생각나는데 그렇게 먹다보면 해물의 맛보다 양념의 맛이 더 먼저 느껴지더라구요 대하도 딱 맛있는 요즘 고추장양념맛에 해물 본연의 맛을 죽일수 없기에 오늘은 깔끔하지만 매콤한 해물볶음을 만들어봤어요 색다른 시도였지만 생각보다 맛있네요.,"[{'step_number': 1, 'description': '통째로 요리에 넣어야 하므로 껍질뒷부분까지 깨끗하게 씻어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/13/c720af299f181b0aa7f89e046a666cca1.jpg'}, {'step_number': 2, 'description': '찜기에서 살짝 쪄줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/13/68fc5835adc732bc4f61dcc7f226a3421.jpg'}, {'step_number': 3, 'description': '전복을 깨끗하게 씻고 이빨을 제거하여 칼집을 내주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/13/e72e667335884b6135bd533faae64a8c1.jpg'}, {'step_number': 4, 'description': '찜기에서 속까지 익을수 있도록 쪄줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/13/470ec8dbdfe138b8752bc46a852b4ff51.jpg'}, {'step_number': 5, 'description': '가리비도 깨끗하게 손질하여 칼집을 넣어주세요.가리비 손질법 레시피', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/13/f9881b9d262597b1dc5abaf4260b0f2a1.jpg'}, {'step_number': 6, 'description': '대하는 머리뿔과 수염, 내장을 제거하고 몸통의 껍질을 까주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/13/4406efee8930cbf3fe74ea328437da061.jpg'}, {'step_number': 7, 'description': '식용유에 저민마늘을 익혀주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/13/236a3e8d7240d92fee101db5fc173c5f1.jpg'}, {'step_number': 8, 'description': '마늘이 노란빛을 띄면 건고추를 넣어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/13/45b857ea2ac6baf1730753c5203012011.jpg'}, {'step_number': 9, 'description': '새우의 바삭함을 살리기 위해 미리 익혀줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/13/3513cbf99427fa149824d2222627150b1.jpg'}, {'step_number': 10, 'description': '새우가 익으면 마늘과 새우는 따로 건져 주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/13/256dbec86a2631d8eca09ce99b4bb72e1.jpg'}, {'step_number': 11, 'description': '달군 건고추에 익힌 전복을 넣어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/13/5a228dd3ae6999765a828b0a7eb0c1391.jpg'}, {'step_number': 12, 'description': '미니갑오징어를 넣어주세요. 갑오징어가 살짝 익으면 관자, 가리비와 새우 마늘을 넣고 서로 잘 섞이도록 익혀줍니다. 마지막으로 고추기름을 둘러 마무리해주시면 됩니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/13/ac8fee67e3d091dc634736480aeaf39f1.jpg'}]"
27462,메인반찬,일상,해물류,볶음,"매콤, 달짝지근한 오징어볶음 만들기 ♬",None,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/05/3e7b04b96be48d65b830fcd85703f11d.png,"137,298",None,None,None,[],,[]
27463,메인반찬,일상,해물류,볶음,":: 오징어볶음/오징어덮밥 :: 매콤~하게볶아내는 오징어볶음, 그리고 밥과함께 비벼먹는 오징어덮밥",None,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/02ed1bbc508235535c7b9a9e58c941ff.jpg,"53,870",None,None,None,[],,[]
27464,메인반찬,일상,해물류,볶음,매콤한 오징어야채볶음 만들기,오징어야채볶음,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/c7bfc535e1e26ba3900987aecad47f3b.jpg,"20,916",30분 이내,초급,2인분,"[('오징어', '1마리'), ('냉장고속야채', ''), ('포도씨유', ''), ('굴소스', '1'), ('두반장', '1'), ('고추장', '1'), ('고추가루', '1'), ('마늘', ''), ('참기름', ''), ('생강즙', ''), ('청주', ''), ('설탕', '1'), ('물엿', '1')]",매콤하게 만든 오징어볶음입니다.,"[{'step_number': 1, 'description': '야채는 울집 냉장고 사정대로 준비했구요.. 더 넣고싶은 야채있음 뭐든 좋습니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/16/bbfc319c58272dd154ed76572c4a389f1.jpg'}, {'step_number': 2, 'description': '양념장재료를 모두 넣어 섞어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/16/42be1e0a40b9c44adfbd24a912e7ec4e1.jpg'}, {'step_number': 3, 'description': '포도씨유를 두른후 딱딱한 야채부터 넣고 볶아주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/16/dfec451d1dca1cfeee59150934d52c6b1.jpg'}, {'step_number': 4, 'description': '오징어도 넣어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/16/1d7a3c7da728abac2e14d936319d65c91.jpg'}, {'step_number': 5, 'description': '나머지 야채와 양념장을 붓고 볶아주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/16/4364b2b4efde0cad6697f4ed06c003901.jpg'}]"
